author	time	parents	message	sha	changes	additions	deletions	files
SiyavashGh	2020-02-29 02:51:11	['a6410fc27c830bf4fb1b2bfa0db1341c648342f7', 'efee45cae56d1d8cc36a4a521256ea1f7039da9c']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	f1b90f02619bea08b2958fc67f200875682b83ce	[13]	[9]	[4]	['testRunner.sh']	
SiyavashGh	2020-02-29 02:51:01	['e982cd18637c57cb085ede933708ca18345ff112']	Minor comments	a6410fc27c830bf4fb1b2bfa0db1341c648342f7	[5, 6, 5, 4, 29, 4]	[3, 3, 3, 1, 0, 2]	[2, 3, 2, 3, 29, 2]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/Item.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-29 00:55:00	['e982cd18637c57cb085ede933708ca18345ff112']	added more comments to script	efee45cae56d1d8cc36a4a521256ea1f7039da9c	[13]	[9]	[4]	['testRunner.sh']	
SiyavashGh	2020-02-29 00:47:32	['a2fc1b7d531e097ecadf9eb92a40712087982642']	Final commit	e982cd18637c57cb085ede933708ca18345ff112	[39, 28, 3, 25, 38, 2, 20, 2, 27, 8, 20, 2, 32, 85, 32, 17, 8, 14, 2, 9, 17, 11, 8, 1, 8, 3, 9, 8, 1, 22, 20, 2, 8, 16, 35, 41]	[39, 10, 3, 9, 14, 2, 6, 2, 7, 2, 6, 2, 10, 25, 10, 5, 2, 4, 2, 2, 5, 3, 2, 1, 2, 0, 2, 2, 1, 7, 6, 2, 2, 4, 9, 13]	[0, 18, 0, 16, 24, 0, 14, 0, 20, 6, 14, 0, 22, 60, 22, 12, 6, 10, 0, 7, 12, 8, 6, 0, 6, 3, 7, 6, 0, 15, 14, 0, 6, 12, 26, 28]	['TestResults/testTable.csv', 'Tests/AddCredit/addCredit1/testOutput.txt', 'Tests/AddCredit/addCredit1/testTransactions.txt', 'Tests/AddCredit/addCredit4/testOutput.txt', 'Tests/AddCredit/addCredit5/testOutput.txt', 'Tests/AddCredit/addCredit5/testTransactions.txt', 'Tests/Advertise/advert1/testOutput.txt', 'Tests/Advertise/advert1/testTransactions.txt', 'Tests/Advertise/advert2/testOutput.txt', 'Tests/Advertise/advert5/testOutput.txt', 'Tests/Bid/bid1/testOutput.txt', 'Tests/Bid/bid1/testTransactions.txt', 'Tests/Bid/bid2/testOutput.txt', 'Tests/Bid/bid3/testOutput.txt', 'Tests/Bid/bid5/testOutput.txt', 'Tests/Bid/bid6/testOutput.txt', 'Tests/Bid/bid7/testOutput.txt', 'Tests/DeleteUser/delete1/testOutput.txt', 'Tests/DeleteUser/delete1/testTransactions.txt', 'Tests/DeleteUser/delete2/testOutput.txt', 'Tests/DeleteUser/delete3/testOutput.txt', 'Tests/DeleteUser/delete4/testOutput.txt', 'Tests/Login/login1/testOutput.txt', 'Tests/Login/login1/testTransactions.txt', 'Tests/Login/login2/testOutput.txt', 'Tests/Login/login3/testOutput.txt', 'Tests/Login/login4/testOutput.txt', 'Tests/Logout/logout1/testOutput.txt', 'Tests/Logout/logout1/testTransactions.txt', 'Tests/Logout/logout2/testOutput.txt', 'Tests/Refund/refund1/testOutput.txt', 'Tests/Refund/refund1/testTransactions.txt', 'Tests/Refund/refund2/testOutput.txt', 'Tests/Refund/refund3/testOutput.txt', 'Tests/Refund/refund4/testOutput.txt', 'Tests/Refund/refund5/testOutput.txt']	
SiyavashGh	2020-02-29 00:46:12	['0811f69727316de05ae46fdd03b648354f1ca3b8', '6835f07248e8a5aca30934edac22b07535a727f9']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	a2fc1b7d531e097ecadf9eb92a40712087982642	[2, 2, 2, 9, 4, 2, 2, 2, 4, 23]	[1, 1, 1, 4, 3, 1, 1, 1, 3, 19]	[1, 1, 1, 5, 1, 1, 1, 1, 1, 4]	['Tests/AddCredit/addCredit1/transactionoutputs.txt', 'Tests/AddCredit/addCredit5/output.txt', 'Tests/AddCredit/addCredit5/transactionoutputs.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-29 00:44:51	['49baf302d67a4fd2c4d6b38d9f9a5462c71d70c7']	Run#8 bid6 fix	0811f69727316de05ae46fdd03b648354f1ca3b8	[2, 6, 6, 5, 3, 7, 4]	[1, 2, 2, 2, 3, 6, 2]	[1, 4, 4, 3, 0, 1, 2]	['Tests/Bid/bid1/transactionoutputs.txt', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp', 'src/storage/items.txt']	
Colin-Shaw2	2020-02-29 00:43:45	['f65ff4d212b8207a764c0e4f15a227951ee59d28']	fixed test	6835f07248e8a5aca30934edac22b07535a727f9	[2]	[1]	[1]	['Tests/Bid/bid1/transactionoutputs.txt']	
Colin-Shaw2	2020-02-29 00:35:36	['8b166663dce4191f5d1d3fd5ddb18bb8f771153d']	minor fixes	f65ff4d212b8207a764c0e4f15a227951ee59d28	[2, 2]	[1, 1]	[1, 1]	['Tests/AddCredit/addCredit1/transactionoutputs.txt', 'Tests/AddCredit/addCredit5/transactionoutputs.txt']	
Colin-Shaw2	2020-02-29 00:31:29	['67fac63f30b196a264f13415bdac78e42601981a', 'b73ecfc5bf5326865a3908faf5da267ae4d6ccdc']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	8b166663dce4191f5d1d3fd5ddb18bb8f771153d	[3, 2, 2, 4, 12, 14, 3, 17, 21, 28, 2, 2, 15, 2]	[2, 1, 1, 0, 4, 4, 2, 13, 15, 17, 1, 1, 11, 1]	[1, 1, 1, 4, 8, 10, 1, 4, 6, 11, 1, 1, 4, 1]	['.vscode/settings.json', 'TestDefaults/items.txt', 'Tests/Bid/bid1/output.txt', 'Tests/Bid/bid3/input.txt', 'Tests/Bid/bid3/output.txt', 'Tests/Bid/bid4/testOutput.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp', 'src/storage/items.txt']	
Colin-Shaw2	2020-02-29 00:26:49	['ebfcd244e4f9ff3e19d17ddc1add7691baf9d1dc']	run 9 addCredit5	67fac63f30b196a264f13415bdac78e42601981a	[2, 4, 4, 4, 2, 4, 23]	[1, 2, 2, 2, 1, 3, 19]	[1, 2, 2, 2, 1, 1, 4]	['Tests/AddCredit/addCredit5/output.txt', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
